worker_id,zone_id,city,tenure_weeks,daily_active_hours,weekly_delivery_days,avg_weekly_earnings,earnings_std_dev,claim_count_90d,zone_disruption_days,zone_aqi_baseline,is_monsoon_season,is_flood_prone_zone,platform,is_part_time,risk_label
w_0001,MUM-07,Mumbai,66,6.1,5,4777.0,820.0,1,35,158,1,1,Amazon,0,1
w_0002,CHN-06,Chennai,66,9.2,5,2908.0,581.0,1,12,105,1,0,Flipkart,0,1
w_0003,BLR-03,Bangalore,11,9.1,6,4554.0,1187.0,0,6,104,0,0,Meesho,0,0
w_0004,DEL-12,Delhi,73,9.4,3,3982.0,532.0,5,23,234,0,0,Amazon,0,2
w_0005,VAD-04,Vadodara,42,11.4,4,4365.0,415.0,0,20,136,0,1,Flipkart,0,0
w_0006,VAD-04,Vadodara,15,7.5,6,2434.0,386.0,1,17,158,1,1,Amazon,0,1
w_0007,VAD-04,Vadodara,12,8.1,6,2898.0,376.0,2,17,143,1,1,Meesho,0,1
w_0008,CHN-06,Chennai,104,8.8,5,3685.0,982.0,1,11,128,1,0,Amazon,0,0
w_0009,DEL-12,Delhi,37,4.6,4,4065.0,1197.0,1,25,226,1,0,Amazon,0,1
w_0010,BLR-03,Bangalore,14,8.3,6,3157.0,701.0,0,10,108,0,0,Amazon,0,0
w_0011,VAD-04,Vadodara,30,8.8,5,3202.0,683.0,0,15,135,0,1,Amazon,0,0
w_0012,CHN-06,Chennai,25,6.6,5,2650.0,606.0,0,14,107,0,0,Meesho,0,0
w_0013,BLR-03,Bangalore,22,12.0,6,3099.0,517.0,2,5,107,1,0,Amazon,0,1
w_0014,MUM-07,Mumbai,31,8.5,5,3194.0,662.0,0,31,180,0,1,Amazon,0,0
w_0015,VAD-04,Vadodara,23,6.5,5,3199.0,217.0,1,18,161,1,1,Amazon,0,2
w_0016,VAD-04,Vadodara,31,6.9,5,2780.0,482.0,1,18,136,1,1,Meesho,0,1
w_0017,MUM-07,Mumbai,71,6.4,5,5037.0,670.0,0,29,158,1,1,Amazon,0,0
w_0018,DEL-12,Delhi,104,6.5,6,4317.0,273.0,0,21,255,1,0,Flipkart,0,0
w_0019,MUM-07,Mumbai,37,8.7,5,4032.0,751.0,1,34,173,1,1,Meesho,0,1
w_0020,MUM-07,Mumbai,78,8.9,4,4417.0,619.0,3,32,171,0,1,Amazon,0,1
w_0021,DEL-12,Delhi,58,8.9,4,3963.0,783.0,1,19,245,0,0,Amazon,0,1
w_0022,VAD-04,Vadodara,10,9.4,6,5288.0,943.0,0,20,130,0,1,Amazon,0,0
w_0023,MUM-07,Mumbai,81,8.8,6,2856.0,340.0,2,31,164,1,1,Flipkart,0,1
w_0024,MUM-07,Mumbai,2,12.0,4,1674.0,310.0,1,30,179,0,1,Flipkart,0,1
