worker_id,zone_id,city,tenure_weeks,daily_active_hours,weekly_delivery_days,avg_weekly_earnings,earnings_std_dev,avg_daily_distance_km,avg_deliveries_per_day,vehicle_type,primary_shift,claim_count_90d,zone_disruption_days,zone_aqi_baseline,is_monsoon_season,is_flood_prone_zone,platform,is_part_time,risk_label
w_00001,MUM-07,Mumbai,26,10.4,6,4189.0,849.0,79.9,85,Petrol_Bike,Midday_Evening,0,23,115,0,1,Amazon,0,0
w_00002,CHN-06,Chennai,12,3.7,2,800.0,96.0,16.0,24,EV_Scooter,Midday_Evening,1,18,96,1,1,Amazon,1,1
w_00003,BLR-03,Bangalore,23,8.9,5,2847.0,351.0,47.2,32,Petrol_Bike,Midday_Evening,0,19,70,1,1,Flipkart,0,0
w_00004,DEL-12,Delhi,4,10.6,6,4807.0,1328.0,60.9,42,Petrol_Bike,Morning_Midday,0,31,238,1,0,Amazon,0,0
w_00005,MUM-07,Mumbai,14,10.4,6,5460.0,1326.0,85.9,45,Petrol_Bike,Evening_Late,2,32,140,1,1,Meesho,0,1
w_00006,MUM-07,Mumbai,6,8.8,7,4723.0,482.0,41.7,73,Petrol_Bike,Evening_Late,1,28,133,1,1,Meesho,0,1
w_00007,VAD-04,Vadodara,3,7.8,6,3582.0,819.0,55.5,48,Petrol_Bike,Midday_Evening,0,14,127,1,1,Flipkart,0,0
w_00008,BLR-03,Bangalore,5,12.0,6,5739.0,1889.0,62.6,66,Petrol_Bike,Evening_Late,0,17,100,0,1,Flipkart,0,0
w_00009,DEL-12,Delhi,7,11.1,5,2385.0,740.0,34.0,52,Petrol_Bike,Midday_Evening,3,38,277,0,0,Amazon,0,2
w_00010,BLR-03,Bangalore,42,9.1,7,4207.0,593.0,75.4,51,Petrol_Bike,Midday_Evening,1,21,116,0,1,Meesho,0,1
w_00011,VAD-04,Vadodara,6,11.3,5,2821.0,398.0,68.3,34,Petrol_Bike,Evening_Late,0,15,72,1,1,Amazon,0,0
w_00012,CHN-06,Chennai,3,10.3,7,3905.0,855.0,29.0,61,EV_Scooter,Midday_Evening,2,24,84,1,1,Flipkart,0,1
w_00013,BLR-03,Bangalore,13,11.3,6,4292.0,1017.0,49.9,41,Petrol_Bike,Evening_Late,1,18,90,1,1,Flipkart,0,1
w_00014,MUM-07,Mumbai,12,6.8,6,3269.0,393.0,31.5,66,Cycle,Morning_Midday,1,30,130,1,1,Amazon,0,0
w_00015,MUM-07,Mumbai,7,8.9,6,3305.0,669.0,57.8,50,Petrol_Bike,Evening_Late,1,27,114,1,1,Flipkart,0,1
w_00016,MUM-07,Mumbai,10,11.9,6,4234.0,1071.0,54.2,48,EV_Scooter,Evening_Late,0,28,152,0,1,Amazon,0,0
w_00017,MUM-07,Mumbai,32,13.5,6,5169.0,1505.0,49.9,38,Petrol_Bike,Midday_Evening,0,27,179,1,1,Flipkart,0,0
w_00018,DEL-12,Delhi,23,8.9,6,3445.0,766.0,49.0,42,EV_Scooter,Midday_Evening,0,34,264,1,0,Flipkart,0,0
w_00019,DEL-12,Delhi,21,8.9,7,3089.0,541.0,42.2,43,Petrol_Bike,Midday_Evening,0,33,262,0,0,Amazon,0,0
w_00020,MUM-07,Mumbai,3,10.5,6,4860.0,1052.0,57.3,50,EV_Scooter,Midday_Evening,1,29,151,1,1,Amazon,0,1
w_00021,DEL-12,Delhi,104,10.0,6,3794.0,1037.0,71.6,73,Petrol_Bike,Morning_Midday,0,40,214,0,0,Amazon,0,0
w_00022,MUM-07,Mumbai,34,10.3,7,4088.0,1133.0,69.6,28,Petrol_Bike,Evening_Late,2,32,130,1,1,Flipkart,0,1
w_00023,MUM-07,Mumbai,20,6.3,6,2794.0,251.0,51.6,51,EV_Scooter,Midday_Evening,1,23,154,1,1,Amazon,0,1
w_00024,MUM-07,Mumbai,3,9.1,6,3012.0,862.0,23.9,76,Petrol_Bike,Midday_Evening,0,33,114,0,1,Amazon,0,1
